0 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.2 0.40000001 0.60000002 0.80000001 
0.0099999998 0.58936328 0.58497506 0.58981597 0.56816667 0.67650861 0.50048339 0.50045931 0.50048721 0.5003686 0.50095516 0.2 0.40000001 0.60000002 0.80000001 
0.02 0.64380026 0.63706976 0.64326292 0.60981411 0.78371304 0.50166214 0.50158161 0.50166649 0.50126827 0.50328201 0.2 0.40000001 0.60000002 0.80000001 
0.029999999 0.67704803 0.66922367 0.67465192 0.63537335 0.84886158 0.50325614 0.50310314 0.50324637 0.50248635 0.50642484 0.2 0.40000001 0.60000002 0.80000001 
0.039999999 0.6974417 0.68928802 0.69266766 0.65117359 0.8884877 0.50509554 0.50486404 0.50505048 0.50389379 0.51004648 0.2 0.40000001 0.60000002 0.80000001 
0.050000001 0.71003878 0.70202613 0.70258117 0.66105521 0.91262352 0.50707734 0.50676739 0.50697207 0.5054124 0.51394254 0.2 0.40000001 0.60000002 0.80000001 
0.059999999 0.71790797 0.71032816 0.70759195 0.66734827 0.92735624 0.50913918 0.50875455 0.50894666 0.50699478 0.51798916 0.2 0.40000001 0.60000002 0.80000001 
0.07 0.7229113 0.71594733 0.70964259 0.67146671 0.93637943 0.51124328 0.51079005 0.51093537 0.50861233 0.52211112 0.2 0.40000001 0.60000002 0.80000001 
0.079999998 0.72617847 0.71994698 0.70991313 0.67426825 0.94193435 0.51336688 0.51285237 0.51291502 0.51024759 0.52626318 0.2 0.40000001 0.60000002 0.80000001 
0.090000004 0.72839499 0.72297221 0.70912075 0.67627341 0.94538087 0.51549608 0.51492876 0.51487195 0.51189011 0.53041774 0.2 0.40000001 0.60000002 0.80000001 
0.1 0.72997671 0.72541386 0.70770186 0.67779797 0.94754422 0.51762277 0.51701134 0.51679808 0.51353365 0.5345583 0.2 0.40000001 0.60000002 0.80000001 
0.11 0.7311759 0.72750884 0.70592248 0.67903346 0.94892508 0.51974195 0.51909566 0.51868898 0.51517451 0.53867501 0.2 0.40000001 0.60000002 0.80000001 
0.12 0.73214567 0.72940058 0.70394522 0.68009603 0.94982737 0.52185076 0.52117896 0.52054226 0.5168103 0.54276186 0.2 0.40000001 0.60000002 0.80000001 
0.13 0.73297882 0.73117566 0.7018699 0.68105614 0.95043552 0.52394748 0.5232597 0.52235687 0.51843989 0.54681545 0.2 0.40000001 0.60000002 0.80000001 
0.14 0.73373169 0.73288637 0.69975829 0.68195659 0.95086139 0.52603114 0.5253371 0.52413255 0.52006245 0.55083382 0.2 0.40000001 0.60000002 0.80000001 
0.15000001 0.73443836 0.73456395 0.69764888 0.68282306 0.95117295 0.52810138 0.52741063 0.52586949 0.52167767 0.55481577 0.2 0.40000001 0.60000002 0.80000001 
0.16 0.73511946 0.73622704 0.69556624 0.68367141 0.95141137 0.53015786 0.5294801 0.52756834 0.52328533 0.55876082 0.2 0.40000001 0.60000002 0.80000001 
0.17 0.73578757 0.73788661 0.69352621 0.68451095 0.9516018 0.53220057 0.53154558 0.5292297 0.52488542 0.56266874 0.2 0.40000001 0.60000002 0.80000001 
0.18000001 0.7364502 0.73954892 0.69153959 0.68534738 0.9517594 0.53422964 0.53360695 0.53085452 0.52647787 0.56653953 0.2 0.40000001 0.60000002 0.80000001 
0.19 0.73711181 0.74121749 0.68961382 0.68618417 0.95189345 0.53624505 0.53566444 0.53244376 0.52806282 0.57037318 0.2 0.40000001 0.60000002 0.80000001 
0.2 0.73777521 0.74289399 0.68775445 0.68702334 0.9520095 0.53824699 0.53771806 0.53399831 0.52964032 0.57416999 0.2 0.40000001 0.60000002 0.80000001 
0.20999999 0.738442 0.74457908 0.68596566 0.68786597 0.95211112 0.5402357 0.53976798 0.53551918 0.53121048 0.57793003 0.2 0.40000001 0.60000002 0.80000001 
0.22 0.73911309 0.74627286 0.68425107 0.68871284 0.95220029 0.54221117 0.54181433 0.53700757 0.53277349 0.58165365 0.2 0.40000001 0.60000002 0.80000001 
0.23 0.73978895 0.74797499 0.68261349 0.68956423 0.95227838 0.54417378 0.54385722 0.53846443 0.53432935 0.5853411 0.2 0.40000001 0.60000002 0.80000001 
0.23999999 0.74046999 0.74968493 0.68105555 0.69042039 0.95234609 0.54612356 0.54589671 0.53989089 0.53587824 0.58899254 0.2 0.40000001 0.60000002 0.80000001 
0.25 0.74115622 0.7514019 0.67957968 0.69128126 0.95240402 0.54806077 0.54793298 0.54128808 0.53742021 0.59260821 0.2 0.40000001 0.60000002 0.80000001 
0.25999999 0.74184769 0.75312525 0.67818791 0.69214696 0.95245236 0.54998553 0.5499661 0.54265714 0.53895545 0.59618849 0.2 0.40000001 0.60000002 0.80000001 
0.27000001 0.74254447 0.75485408 0.67688227 0.69301736 0.95249134 0.55189806 0.55199617 0.54399908 0.54048407 0.59973359 0.2 0.40000001 0.60000002 0.80000001 
0.28 0.74324638 0.75658756 0.67566454 0.69389242 0.95252109 0.5537985 0.55402333 0.54531515 0.54200619 0.60324377 0.2 0.40000001 0.60000002 0.80000001 
0.28999999 0.74395347 0.75832486 0.67453641 0.69477201 0.95254171 0.55568707 0.5560475 0.54660642 0.54352182 0.60671926 0.2 0.40000001 0.60000002 0.80000001 
0.30000001 0.74466556 0.76006502 0.67349941 0.695656 0.95255321 0.5575639 0.55806887 0.54787409 0.54503119 0.61016029 0.2 0.40000001 0.60000002 0.80000001 
0.31 0.74538261 0.76180726 0.67255497 0.69654435 0.95255566 0.55942917 0.56008744 0.54911935 0.54653436 0.61356717 0.2 0.40000001 0.60000002 0.80000001 
